dataset,exp_name,seed,rollout_time,scores,returns,first_value,first_search_value,discount_return,prediction_error,step
hopper-medium-expert-v2,baseline,1,18,113.00357192556147,3657.510650550079,269.41534423828125,292.397705078125,271.8359494608989,0.025869419417208495,999
hopper-medium-expert-v2,baseline,1,19,112.61741502700832,3644.9428950759216,269.5161437988281,293.0338439941406,271.6518924649055,0.05414152374060236,999
hopper-medium-expert-v2,baseline,1,20,112.57555502589018,3643.580531072658,268.5872802734375,288.66455078125,270.2392087591215,0.022286299678751665,999
hopper-medium-expert-v2,baseline,2,1,71.63620931642681,2311.179923764257,268.9808654785156,291.1817626953125,269.81777322118023,0.010307764454055656,648
hopper-medium-expert-v2,baseline,2,2,104.85468504515003,3392.2992349744295,267.9707946777344,290.081298828125,271.89523078992914,0.029222519895667255,954
hopper-medium-expert-v2,baseline,2,3,100.34554165969374,3245.5459031586297,266.1080017089844,295.1846618652344,268.88716407510816,0.03574643000499671,870
hopper-medium-expert-v2,baseline,2,4,112.90409036170546,3654.2729511242405,270.6690368652344,293.845947265625,270.54504440576716,0.020623721408960575,999
hopper-medium-expert-v2,baseline,2,5,91.15083523330718,2946.2975342793975,268.5413818359375,292.13739013671875,271.4290737156659,0.019569341773066167,746
hopper-medium-expert-v2,baseline,2,6,101.79892632798686,3292.847358058014,268.68609619140625,288.895751953125,269.07546846354563,0.0329000025935849,841
hopper-medium-expert-v2,baseline,2,7,98.67112658974173,3191.0508540212254,268.9245910644531,290.2377014160156,271.9057230414697,0.03044756397336461,883
hopper-medium-expert-v2,baseline,2,8,71.4331309133689,2304.570590300898,268.9173889160156,294.6322021484375,270.1663678429984,0.028131640841517765,635
hopper-medium-expert-v2,baseline,2,9,63.28900372804116,2039.5140824432451,270.6551818847656,289.0081787109375,271.856927643584,0.04878178069701591,541
hopper-medium-expert-v2,baseline,2,10,71.2297522597769,2297.9514849668108,268.77337646484375,296.49212646484375,270.28567357060825,0.040263191171408474,634
hopper-medium-expert-v2,baseline,2,11,112.84405986452619,3652.31921518849,268.70880126953125,295.47698974609375,270.80099723508266,0.06104329202958047,999
hopper-medium-expert-v2,baseline,2,12,110.89213129454554,3588.792288536517,269.214111328125,295.453369140625,268.3841229973489,0.029674966910423695,999
